EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
!Kung,Bilateral,80.5,20.5,100,3
Herero,Bilateral,10.5,30.5,41,2
Duruma,Bilateral,2.5,10.5,13,1
Giriama,Patrilineal,2.5,10.5,13,1
Pokomo,Patrilineal,2.5,10.5,13,1
Copper Inuit,Bilateral,2.5,40.5,43,2
Iglulik Inuit,Bilateral,2.5,50.5,53,2
Nabesna,Matrilineal,20.5,60.5,81,3
Chugach,Bilateral,2.5,20.5,23,1
Sivokakmeit,Bilateral,2.5,20.5,23,1
Nunamiut,Bilateral,10.5,70.5,81,3
Kamba,Patrilineal,2.5,10.5,13,1
Baffin Island Inuit,Bilateral,2.5,20.5,23,1
Inughuit,Bilateral,10.5,40.5,51,2
Tlicho,Bilateral,20.5,30.5,51,2
Délįne,Bilateral,10.5,40.5,51,2
DeneTha,Bilateral,10.5,50.5,61,2
Dakelh,Matrilineal,20.5,40.5,61,2
Tareumiut,Bilateral,2.5,30.5,33,1
Kutchin,Matrilineal,10.5,40.5,51,2
Caribou Inuit,Bilateral,10.5,50.5,61,2
Labrador Inuit,Bilateral,2.5,40.5,43,2
Meru,Patrilineal,2.5,10.5,13,1
Tasiilaq,Bilateral,2.5,20.5,23,1
Kalaallit,Bilateral,10.5,20.5,31,1
Dena'ina,Matrilineal,10.5,40.5,51,2
Tahltan,Matrilineal,10.5,50.5,61,2
Sekani,Bilateral,10.5,50.5,61,2
Beaver,Bilateral,30.5,50.5,81,3
Dene,Bilateral,2.5,60.5,63,2
Eastern Cree,Bilateral,20.5,50.5,71,3
Montagnais,Bilateral,20.5,60.5,81,3
Northern Saulteaux,Patrilineal,20.5,40.5,61,2
Pare,Patrilineal,2.5,2.5,5,1
Pekangekum,Bilateral,20.5,40.5,61,2
Nipigon,Patrilineal,20.5,50.5,71,3
Minnesota Ojibwa,Patrilineal,20.5,20.5,41,2
Rainy River Ojibwe,Patrilineal,30.5,40.5,71,3
Katikitegon,Patrilineal,30.5,30.5,61,2
Eastern Ojibwa,Patrilineal,30.5,30.5,61,2
Kaska,Matrilineal,10.5,40.5,51,2
Ottawa,Patrilineal,10.5,40.5,51,2
Mi'kmaq,Bilateral,10.5,50.5,61,2
Potawatomi,Patrilineal,10.5,50.5,61,2
Teita,Patrilineal,2.5,10.5,13,1
Netsilik,Bilateral,2.5,40.5,43,2
Taqagmiut,Bilateral,2.5,60.5,63,2
Mistissini Cree,Bilateral,10.5,60.5,71,3
Naskapi,Bilateral,10.5,70.5,81,3
Deg Xit'an,Bilateral,10.5,40.5,51,2
Haida,Matrilineal,20.5,20.5,41,2
Alkatcho,Bilateral,10.5,40.5,51,2
Kara,Patrilineal,2.5,2.5,5,1
Nuu chah nulth,Bilateral,20.5,20.5,41,2
Klahoose,Bilateral,20.5,30.5,51,2
Squamish,Bilateral,20.5,30.5,51,2
Comox,Bilateral,20.5,30.5,51,2
Lummi,Bilateral,30.5,20.5,51,2
Klallam,Bilateral,10.5,30.5,41,2
Puyallup,Bilateral,30.5,20.5,51,2
Quileute,Bilateral,10.5,30.5,41,2
Lower Chinook,Bilateral,20.5,20.5,41,2
Twana,Bilateral,10.5,30.5,41,2
Sonjo,Patrilineal,2.5,2.5,5,1
Tillamook,Bilateral,20.5,30.5,51,2
Coos,Bilateral,10.5,30.5,41,2
Tlingit,Matrilineal,10.5,30.5,41,2
Heiltsuk,Bilateral,20.5,30.5,51,2
Makah,Bilateral,20.5,20.5,41,2
Quinault,Bilateral,20.5,30.5,51,2
Cowichan,Bilateral,20.5,30.5,51,2
Stó:lō,Bilateral,30.5,30.5,61,2
Alsea,Bilateral,10.5,20.5,31,1
Siuslaw,Bilateral,10.5,30.5,41,2
Kikuyu,Patrilineal,2.5,2.5,5,1
Kwakwaka'wakw,Bilateral,30.5,20.5,51,2
Takelma,Bilateral,40.5,30.5,71,3
Tututni,Patrilineal,30.5,20.5,51,2
Shasta,Bilateral,40.5,30.5,71,3
Chimariko,Bilateral,40.5,30.5,71,3
Karuk,Bilateral,40.5,10.5,51,2
Hupa,Bilateral,40.5,10.5,51,2
Wiyot,Bilateral,40.5,10.5,51,2
Lassik,Bilateral,30.5,30.5,61,2
Mattole-Bear River,Bilateral,30.5,40.5,71,3
Pondo,Patrilineal,2.5,2.5,5,1
Tiriki,Patrilineal,2.5,2.5,5,1
Sinkyone,Bilateral,40.5,30.5,71,3
Yurok,Bilateral,40.5,10.5,51,2
Eyak,Matrilineal,20.5,30.5,51,2
Tolowa,Patrilineal,40.5,20.5,61,2
Tsimshian,Matrilineal,20.5,20.5,41,2
Haisla,Matrilineal,20.5,30.5,51,2
Nuxalk,Bilateral,20.5,20.5,41,2
Nomlaki,Patrilineal,60.5,30.5,91,3
Achumawi,Bilateral,30.5,40.5,71,3
Yana,Bilateral,50.5,20.5,71,3
Vugusu,Patrilineal,2.5,2.5,5,1
Maidu,Bilateral,50.5,30.5,81,3
Nisenan,Bilateral,50.5,30.5,81,3
Wintu,Bilateral,30.5,30.5,61,2
Coast Yuki,Bilateral,40.5,20.5,61,2
Huchnom,Bilateral,40.5,30.5,71,3
Northern Pomo,Bilateral,50.5,30.5,81,3
Eastern Pomo,Bilateral,40.5,30.5,71,3
Southern Pomo,Bilateral,40.5,30.5,71,3
Tübalulabal,Bilateral,50.5,30.5,81,3
Wappo,Bilateral,50.5,30.5,81,3
Haya,Patrilineal,2.5,2.5,5,1
Lake Miwok,Bilateral,40.5,30.5,71,3
Patwin,Patrilineal,50.5,30.5,81,3
Western Mono,Patrilineal,50.5,30.5,81,3
Southern Valley Yokuts,Patrilineal,50.5,20.5,71,3
Wukchumni,Patrilineal,40.5,30.5,71,3
Salinan,Patrilineal,50.5,30.5,81,3
Kawaiisu,Bilateral,50.5,30.5,81,3
Chumash,Patrilineal,40.5,10.5,51,2
Tongva,Patrilineal,40.5,20.5,61,2
Northern Foothill Yokuts,Patrilineal,40.5,30.5,71,3
Kerewe,Patrilineal,2.5,2.5,5,1
Serrano,Patrilineal,60.5,40.5,100,3
Cahuilla,Patrilineal,60.5,40.5,100,3
Cupeño,Patrilineal,60.5,40.5,100,3
Luiseño,Patrilineal,60.5,20.5,81,3
Kiliwa,Patrilineal,40.5,30.5,71,3
Atsugewi,Bilateral,40.5,30.5,71,3
Central Sierra Miwok,Patrilineal,60.5,30.5,91,3
Kumeyaay,Patrilineal,50.5,40.5,91,3
Yuki,Bilateral,40.5,30.5,71,3
Klamath,Bilateral,30.5,20.5,51,2
